Product Name,Price,Rating
"REDMI 9i (Sea Blue, 64 GB)","8,299",4.3
"realme C21 (Cross Blue, 64 GB)","9,499",4.4
"realme C21 (Cross Black, 64 GB)","9,499",4.4
I Kall K3312 Combo,"1,399",3.6
"realme C21 (Cross Blue, 32 GB)","8,499",4.4
"realme C21 (Cross Black, 32 GB)","8,499",4.4
"REDMI 9 Power (Mighty Black, 64 GB)","10,999",4.3
"realme C20 (Cool Blue, 32 GB)","6,999",4.3
"realme C20 (Cool Grey, 32 GB)","6,999",4.3
"realme Narzo 30 5G (Racing Silver, 128 GB)","15,999",4.4
"REDMI 9 Power (Blazing Blue, 64 GB)","10,999",4.3
"REDMI 9i (Midnight Black, 64 GB)","8,299",4.3
"realme Narzo 30 (Racing Silver, 64 GB)","12,499",4.4
"realme Narzo 30 (Racing Blue, 64 GB)","12,499",4.4
"REDMI 9i (Nature Green, 64 GB)","8,299",4.3
"realme Narzo 30 5G (Racing Blue, 128 GB)","15,999",4.4
"POCO C3 (Matte Black, 64 GB)","8,499",4.3
"REDMI 9 Prime (Matte Black, 64 GB)","9,999",4.4
"POCO M3 (Power Black, 64 GB)","11,499",4.3
"Infinix Hot 10 Play (Morandi Green, 64 GB)","8,999",4.3
"Infinix Hot 10 Play (Aegean Blue, 64 GB)","8,999",4.3
"POCO M3 (Cool Blue, 64 GB)","11,499",4.3
"realme Narzo 30 (Racing Blue, 128 GB)","14,499",4.3
"POCO C3 (Matte Black, 32 GB)","7,499",4.3
"realme Narzo 30A (Laser Black, 64 GB)","9,999",4.3
"realme Narzo 30A (Laser Blue, 32 GB)","8,999",4.4
"REDMI 9 Power (Electric Green, 64 GB)","10,999",4.3
"Infinix Hot 10 Play (7° Purple, 64 GB)","8,999",4.3
"POCO C3 (Arctic Blue, 32 GB)","7,499",4.3
"REDMI 9 Power (Fiery Red, 64 GB)","10,999",4.3
"POCO M3 (Cool Blue, 128 GB)","12,499",4.3
"POCO M3 (Yellow, 64 GB)","11,499",4.3
"MOTOROLA E7 Power (Tahiti Blue, 64 GB)","8,799",4.1
"realme C11 2021 (Cool Grey, 32 GB)","6,999",4.5
